occupation,skill,relation_type
technical director,theatre techniques,essential
technical director,organise rehearsals,essential
technical director,coordinate with creative departments,essential
technical director,promote health and safety,essential
technical director,write technical riders,optional
metal drawing machine operator,types of metal,essential
metal drawing machine operator,dies,essential
metal drawing machine operator,quality standards,essential
metal drawing machine operator,cold drawing processes,essential
metal drawing machine operator,monitor gauge,essential
metal drawing machine operator,remove inadequate workpieces,essential
metal drawing machine operator,troubleshoot,essential
metal drawing machine operator,remove processed workpiece,essential
metal drawing machine operator,perform test run,essential
metal drawing machine operator,ensure equipment availability,essential
metal drawing machine operator,monitor automated machines,essential
metal drawing machine operator,supply machine,essential
metal drawing machine operator,non-ferrous metal processing,optional
metal drawing machine operator,ferrous metal processing,optional
metal drawing machine operator,metal forming technologies,optional
metal drawing machine operator,metal drawing processes,optional
metal drawing machine operator,precious metal processing,optional
metal drawing machine operator,perform product testing,optional
metal drawing machine operator,tend bar drawing machine,optional
metal drawing machine operator,tend tube drawing machine,optional
metal drawing machine operator,wear appropriate protective gear,optional
metal drawing machine operator,monitor conveyor belt,optional
metal drawing machine operator,tend wire drawing machine,optional
metal drawing machine operator,perform machine maintenance,optional
metal drawing machine operator,advise on machinery malfunctions,optional
metal drawing machine operator,mark processed workpiece,optional
metal drawing machine operator,consult technical resources,optional
metal drawing machine operator,operate lifting equipment,optional
precision device inspector,quality assurance procedures,essential
precision device inspector,precision engineering,essential
precision device inspector,precision mechanics,essential
precision device inspector,quality standards,essential
precision device inspector,precision measuring instruments,essential
precision device inspector,monitor machine operations,essential
precision device inspector,read assembly drawings,essential
precision device inspector,troubleshoot,essential
precision device inspector,conduct quality control analysis,essential
precision device inspector,read standard blueprints,essential
precision device inspector,meet deadlines,essential
precision device inspector,report defective manufacturing materials,essential
precision device inspector,ensure conformity to specifications,essential
precision device inspector,electrical engineering,optional
precision device inspector,micromechatronic engineering,optional
precision device inspector,microelectronics,optional
precision device inspector,moem,optional
precision device inspector,instrument performance elements,optional
precision device inspector,waste removal regulations,optional
precision device inspector,microprocessors,optional
precision device inspector,electronics,optional
precision device inspector,mechanical engineering,optional
precision device inspector,microoptics,optional
precision device inspector,micromechanics,optional
precision device inspector,microelectromechanical systems,optional
precision device inspector,interpret circuit diagrams,optional
precision device inspector,resolve equipment malfunctions,optional
precision device inspector,measure electrical characteristics,optional
precision device inspector,remove defective products,optional
precision device inspector,operate precision measuring equipment,optional
precision device inspector,calibrate precision instrument,optional
precision device inspector,calibrate electronic instruments,optional
precision device inspector,research equipment needs,optional
precision device inspector,maintain test equipment,optional
precision device inspector,use precision tools,optional
precision device inspector,write inspection reports,optional
precision device inspector,operate precision machinery,optional
precision device inspector,write records for repairs,optional
precision device inspector,interpret electrical diagrams,optional
air traffic safety technician,aircraft flight control systems,essential
air traffic safety technician,safety engineering,essential
air traffic safety technician,technical drawings,essential
air traffic safety technician,airport electrical systems,essential
air traffic safety technician,electronics,essential
air traffic safety technician,air transport law,essential
air traffic safety technician,airport safety regulations,essential
air traffic safety technician,common aviation safety regulations,essential
air traffic safety technician,surveillance radars,essential
air traffic safety technician,implement airside safety procedures,essential
air traffic safety technician,use technical drawing software,essential
air traffic safety technician,follow airport safety procedures,essential
air traffic safety technician,use testing equipment,essential
air traffic safety technician,implement safety management systems,essential
air traffic safety technician,maintain electronic equipment,essential
air traffic safety technician,operate radar equipment,essential
air traffic safety technician,air traffic management,optional
air traffic safety technician,electrical engineering,optional
air traffic safety technician,aircraft mechanics,optional
air traffic safety technician,types of aircraft,optional
air traffic safety technician,air traffic control operations,optional
air traffic safety technician,aviation meteorology,optional
air traffic safety technician,design electrical systems,optional
air traffic safety technician,conduct safe aircraft marshalling,optional
air traffic safety technician,use meteorological information,optional
air traffic safety technician,debug software,optional
air traffic safety technician,test circuitry,optional
air traffic safety technician,inspect aircraft for airworthiness,optional
air traffic safety technician,test electrical equipment,optional
air traffic safety technician,undertake navigation safety actions,optional
air traffic safety technician,address aircraft mechanical issues,optional
air traffic safety technician,oversee quality control,optional
air traffic safety technician,operate cockpit control panels,optional
air traffic safety technician,conduct airport safety inspections,optional
air traffic safety technician,install software,optional
air traffic safety technician,assess operating cost,optional
air traffic safety technician,design control systems,optional
air traffic safety technician,perform aircraft maintenance,optional
air traffic safety technician,manage air navigation services,optional
air traffic safety technician,design electronic systems,optional
hospitality revenue manager,property management software,essential
hospitality revenue manager,produce statistical financial records,essential
hospitality revenue manager,implement marketing strategies,essential
hospitality revenue manager,monitor financial accounts,essential
hospitality revenue manager,manage staff,essential
hospitality revenue manager,analyse booking patterns,essential
hospitality revenue manager,develop financial statistics reports,essential
hospitality revenue manager,apply numeracy skills,essential
hospitality revenue manager,forecast occupancy demand,essential
hospitality revenue manager,ensure price competitiveness,essential
hospitality revenue manager,develop business case,essential
hospitality revenue manager,inspect data,essential
hospitality revenue manager,develop revenue generation strategies,essential
hospitality revenue manager,ensure cross-department cooperation,essential
hospitality revenue manager,implement sales strategies,essential
hospitality revenue manager,make data-driven decisions,essential
hospitality revenue manager,manage hospitality revenue,essential
hospitality revenue manager,perform market research,essential
hospitality revenue manager,coach employees,optional
hospitality revenue manager,manage budgets,optional
hospitality revenue manager,handle customer complaints,optional
hospitality revenue manager,quote prices,optional
hospitality revenue manager,manage yield,optional
hospitality revenue manager,maintain customer service,optional
hospitality revenue manager,conduct financial audits,optional
hospitality revenue manager,develop working procedures,optional
hospitality revenue manager,train employees,optional
medical laboratory assistant,techniques of blood-sampling,essential
medical laboratory assistant,microbiology-bacteriology,essential
medical laboratory assistant,laboratory techniques,essential
medical laboratory assistant,blood type classification,essential
medical laboratory assistant,perform laboratory tests,essential
medical laboratory assistant,conduct routine blood testing,essential
medical laboratory assistant,transport blood samples,essential
medical laboratory assistant,archive healthcare users' records,essential
medical laboratory assistant,mix chemicals,essential
medical laboratory assistant,record test data,essential
medical laboratory assistant,maintain laboratory equipment,essential
medical laboratory assistant,examine cell specimens microscopically,essential
medical laboratory assistant,wear appropriate protective gear,essential
medical laboratory assistant,label blood samples,essential
medical laboratory assistant,communicate in healthcare,essential
medical laboratory assistant,send samples to laboratory,essential
medical laboratory assistant,calibrate laboratory equipment,essential
medical laboratory assistant,maintain medical laboratory equipment,essential
medical laboratory assistant,work safely with chemicals,essential
medical laboratory assistant,identify patients' medical records,essential
medical laboratory assistant,test chemical samples,essential
medical laboratory assistant,perform sample testing,essential
medical laboratory assistant,perform cerebrospinal fluid analysis,essential
medical laboratory assistant,use chemical analysis equipment,essential
medical laboratory assistant,operate scientific measuring equipment,essential
medical laboratory assistant,prepare samples for testing,essential
medical laboratory assistant,blood donation,optional
medical laboratory assistant,biological chemistry,optional
medical laboratory assistant,electroencephalography,optional
medical laboratory assistant,clinical biochemistry,optional
medical laboratory assistant,blood transfusion,optional
medical laboratory assistant,blood collection on babies,optional
medical laboratory assistant,paediatric phlebotomy procedures,optional
medical laboratory assistant,dermapathology,optional
medical laboratory assistant,virology,optional
medical laboratory assistant,clinical cytology,optional
medical laboratory assistant,histopathology,optional
medical laboratory assistant,stem cells,optional
medical laboratory assistant,immunology,optional
medical laboratory assistant,fine-needle aspiration,optional
medical laboratory assistant,data protection,optional
medical laboratory assistant,cryopreservation,optional
medical laboratory assistant,densiometry,optional
medical laboratory assistant,microscopic techniques,optional
medical laboratory assistant,tissue cytogenetics,optional
medical laboratory assistant,examine samples in dermatology,optional
medical laboratory assistant,perform bone marrow transplant,optional
medical laboratory assistant,conduct cancer screening tests,optional
medical laboratory assistant,order supplies,optional
medical laboratory assistant,interpret hematological test results,optional
medical laboratory assistant,perform fertility laboratory procedures,optional
medical laboratory assistant,sterilise medical equipment,optional
medical laboratory assistant,analyse cell cultures,optional
medical laboratory assistant,perform pcr covid test,optional
medical laboratory assistant,monitor stock level,optional
medical laboratory assistant,perform reconstructive microsurgery,optional
medical laboratory assistant,analyse blood samples,optional
medical laboratory assistant,dispose medical waste,optional
medical laboratory assistant,perform stem cell transplantation,optional
medical laboratory assistant,work with chemicals,optional
medical laboratory assistant,interpret urology diagnostic tests,optional
medical laboratory assistant,interpret medical results,optional
medical laboratory assistant,carry out flow cytometry,optional
asphalt laboratory technician,asphalt mixes,essential
asphalt laboratory technician,inspect construction supplies,essential
asphalt laboratory technician,supervise site maintenance,essential
asphalt laboratory technician,run laboratory simulations,essential
asphalt laboratory technician,supervise laboratory operations,essential
asphalt laboratory technician,inspect asphalt,essential
asphalt laboratory technician,write inspection reports,essential
asphalt laboratory technician,test concrete,essential
asphalt laboratory technician,civil engineering,optional
asphalt laboratory technician,construction methods,optional
asphalt laboratory technician,construction industry,optional
asphalt laboratory technician,conduct soil sample tests,optional
primary school teaching assistant,primary school procedures,essential
primary school teaching assistant,handle children's problems,essential
primary school teaching assistant,guarantee students' safety,essential
primary school teaching assistant,manage student relationships,essential
primary school teaching assistant,maintain students' discipline,essential
primary school teaching assistant,prepare youths for adulthood,essential
primary school teaching assistant,assist students with equipment,essential
primary school teaching assistant,provide teacher support,essential
primary school teaching assistant,support children's wellbeing,essential
primary school teaching assistant,perform playground surveillance,essential
primary school teaching assistant,give constructive feedback,essential
primary school teaching assistant,provide lesson materials,essential
primary school teaching assistant,workplace sanitation,optional
primary school teaching assistant,social development,optional
primary school teaching assistant,disability types,optional
primary school teaching assistant,learning difficulties,optional
primary school teaching assistant,common children's diseases,optional
primary school teaching assistant,instructional strategies,optional
primary school teaching assistant,teamwork principles,optional
primary school teaching assistant,curriculum objectives,optional
primary school teaching assistant,first aid,optional
primary school teaching assistant,prepare lesson content,optional
primary school teaching assistant,facilitate teamwork between students,optional
primary school teaching assistant,assess students,optional
primary school teaching assistant,provide after school care,optional
primary school teaching assistant,advise on lesson plans,optional
primary school teaching assistant,perform classroom management,optional
primary school teaching assistant,organise creative performance,optional
physiotherapist,orthopaedic manual physiotherapy,essential
physiotherapist,medical terminology,essential
physiotherapist,emergency surgery,essential
physiotherapist,orthopaedics,essential
physiotherapist,general medicine,essential
physiotherapist,surgery,essential
physiotherapist,human physiology,essential
physiotherapist,geriatrics,essential
physiotherapist,kinetics,essential
physiotherapist,neurology,essential
physiotherapist,pharmacology,essential
physiotherapist,physics,essential
physiotherapist,obstetrics and gynaecology,essential
physiotherapist,paediatrics,essential
physiotherapist,rehabilitation,essential
physiotherapist,sociology,essential
physiotherapist,biomechanics,essential
physiotherapist,therapeutic massage,essential
physiotherapist,human anatomy,essential
physiotherapist,manage healthcare staff,essential
physiotherapist,medical informatics,essential
physiotherapist,psychology,essential
physiotherapist,respiratory therapy,essential
physiotherapist,intensive care medicine,essential
physiotherapist,first aid,essential
physiotherapist,psychiatry,essential
physiotherapist,create solutions to problems,essential
physiotherapist,adjust physiotherapy interventions,essential
physiotherapist,manage physiotherapy staff,essential
physiotherapist,provide physiotherapy diagnosis,essential
physiotherapist,manage clinical risk,essential
physiotherapist,triage clients for physiotherapy,essential
physiotherapist,advocate health,essential
physiotherapist,use different communication channels,essential
physiotherapist,manage healthcare users' data,essential
physiotherapist,develop physiotherapy services,essential
physiotherapist,provide health education,essential
physiotherapist,provide self management support,essential
physiotherapist,prescribe healthcare products,essential
physiotherapist,communicate in healthcare,essential
physiotherapist,develop therapeutic relationships,essential
physiotherapist,follow clinical guidelines,essential
physiotherapist,provide stroke rehabilitation services,essential
physiotherapist,listen actively,essential
physiotherapist,supervise physiotherapist assistants,essential
physiotherapist,conduct physiotherapy assessment,essential
physiotherapist,adhere to organisational guidelines,essential
physiotherapist,correct potentially harmful movements,essential
physiotherapist,conduct health related research,essential
physiotherapist,promote inclusion,essential
physiotherapist,interact with healthcare users,essential
physiotherapist,supervise physiotherapy students,essential
physiotherapist,apply organisational techniques,essential
physiotherapist,interpret medical results,essential
physiotherapist,engage in physiotherapy research,essential
physiotherapist,refer healthcare users,essential
physiotherapist,maintain physiotherapy equipment,essential
physiotherapist,accept own accountability,essential
physiotherapist,formulate a treatment plan,essential
physiotherapist,sport and exercise medicine,optional
physiotherapist,hydrotherapy,optional
physiotherapist,analyse personal fitness information,optional
physiotherapist,apply acupuncture,optional
physiotherapist,prescribe medication,optional
physiotherapist,apply massage therapy,optional
performing arts theatre instructor,assessment processes,essential
performing arts theatre instructor,breathing techniques,essential
performing arts theatre instructor,acting techniques,essential
performing arts theatre instructor,vocal techniques,essential
performing arts theatre instructor,instructional strategies,essential
performing arts theatre instructor,pronunciation techniques,essential
performing arts theatre instructor,teamwork principles,essential
performing arts theatre instructor,curriculum objectives,essential
performing arts theatre instructor,theatre techniques,essential
performing arts theatre instructor,guarantee students' safety,essential
performing arts theatre instructor,stimulate performers' imagination,essential
performing arts theatre instructor,prepare lesson content,essential
performing arts theatre instructor,facilitate teamwork between students,essential
performing arts theatre instructor,compile course material,essential
performing arts theatre instructor,direct movement experiences,essential
performing arts theatre instructor,manage student relationships,essential
performing arts theatre instructor,apply teaching strategies,essential
performing arts theatre instructor,assess students,essential
performing arts theatre instructor,identify performers' needs,essential
performing arts theatre instructor,define creative components,essential
performing arts theatre instructor,analyse a script,essential
performing arts theatre instructor,define artistic performance concepts,essential
performing arts theatre instructor,demonstrate when teaching,essential
performing arts theatre instructor,give constructive feedback,essential
performing arts theatre instructor,perform classroom management,essential
performing arts theatre instructor,prepare performance training session,essential
performing arts theatre instructor,apply intercultural teaching strategies,essential
performing arts theatre instructor,develop course outline,essential
performing arts theatre instructor,learning difficulties,optional
performing arts theatre instructor,human anatomy,optional
performing arts theatre instructor,scientific research methodology,optional
performing arts theatre instructor,movement techniques,optional
performing arts theatre instructor,analyse theatre texts,optional
performing arts theatre instructor,develop drama production process,optional
performing arts theatre instructor,practice dance moves,optional
performing arts theatre instructor,perform improvisation,optional
performing arts theatre instructor,promote the conservatory,optional
performing arts theatre instructor,develop the physical language,optional
performing arts theatre instructor,adapt a script,optional
performing arts theatre instructor,assist students with equipment,optional
performing arts theatre instructor,develop learning curriculum,optional
performing arts theatre instructor,play musical instruments,optional
performing arts theatre instructor,keep records of attendance,optional
performing arts theatre instructor,develop professional network,optional
performing arts theatre instructor,provide lesson materials,optional
performing arts theatre instructor,carry out auditions,optional
performing arts theatre instructor,practise singing,optional
performing arts theatre instructor,study play productions,optional
performing arts theatre instructor,develop proposed choreographic language,optional
performing arts theatre instructor,provide career counselling,optional
hydrogenation machine operator,mechanical tools,essential
hydrogenation machine operator,principles of mechanical engineering,essential
hydrogenation machine operator,chemical processes,essential
hydrogenation machine operator,temperature scales,essential
hydrogenation machine operator,apply haccp,essential
hydrogenation machine operator,tend mixing oil machine,essential
hydrogenation machine operator,maintain mechanical equipment,essential
hydrogenation machine operator,assess oil hardness,essential
hydrogenation machine operator,adhere to organisational guidelines,essential
hydrogenation machine operator,pump products,essential
hydrogenation machine operator,apply gmp,essential
hydrogenation machine operator,monitor oil blending process,essential
hydrogenation machine operator,components of oil seeds,optional
hydrogenation machine operator,statistics,optional
hydrogenation machine operator,oil seed process,optional
hydrogenation machine operator,chemistry,optional
hydrogenation machine operator,act reliably,optional
hydrogenation machine operator,liaise with colleagues,optional
hydrogenation machine operator,lift heavy weights,optional
hydrogenation machine operator,dispose food waste,optional
hydrogenation machine operator,liaise with managers,optional
hydrogenation machine operator,label samples,optional
pasta operator,food dehydration processes,essential
pasta operator,monitor flour unloading equipment,essential
pasta operator,ensure sanitation,essential
pasta operator,monitor machine operations,essential
pasta operator,store raw food materials,essential
pasta operator,apply haccp,essential
pasta operator,set up machine controls,essential
pasta operator,adhere to organisational guidelines,essential
pasta operator,apply gmp,essential
pasta operator,follow production schedule,essential
pasta operator,operate weighing machine,essential
pasta operator,knead food products,essential
pasta operator,prepare pasta,essential
pasta operator,manage production changeovers,essential
pasta operator,mechanical tools,optional
pasta operator,act reliably,optional
pasta operator,check processing parameters,optional
pasta operator,apply extruding techniques,optional
pasta operator,follow written instructions,optional
pasta operator,perform ict troubleshooting,optional
pasta operator,liaise with colleagues,optional
pasta operator,lift heavy weights,optional
pasta operator,secure goods,optional
pasta operator,dispose food waste,optional
pasta operator,liaise with managers,optional
pasta operator,label samples,optional
pasta operator,follow verbal instructions,optional
tobacco shop manager,sales activities,essential
tobacco shop manager,employment law,essential
tobacco shop manager,tobacco brands,essential
tobacco shop manager,set up pricing strategies,essential
tobacco shop manager,order supplies,essential
tobacco shop manager,manage budgets,essential
tobacco shop manager,maintain relationship with customers,essential
tobacco shop manager,manage staff,essential
tobacco shop manager,maintain relationship with suppliers,essential
tobacco shop manager,use different communication channels,essential
tobacco shop manager,recruit employees,essential
tobacco shop manager,obtain relevant licenses,essential
tobacco shop manager,oversee promotional sales prices,essential
tobacco shop manager,ensure correct goods labelling,essential
tobacco shop manager,negotiate sales contracts,essential
tobacco shop manager,measure customer feedback,essential
tobacco shop manager,perform procurement processes,essential
tobacco shop manager,maximise sales revenues,essential
tobacco shop manager,adhere to organisational guidelines,essential
tobacco shop manager,ensure client orientation,essential
tobacco shop manager,set sales goals,essential
tobacco shop manager,supervise merchandise displays,essential
tobacco shop manager,monitor customer service,essential
tobacco shop manager,manage theft prevention,essential
tobacco shop manager,handle sensitive products,essential
tobacco shop manager,negotiate buying conditions,essential
"rental service representative in other machinery, equipment and tangible goods",financial capability,essential
"rental service representative in other machinery, equipment and tangible goods",product comprehension,essential
"rental service representative in other machinery, equipment and tangible goods",company policies,essential
"rental service representative in other machinery, equipment and tangible goods",guarantee customer satisfaction,essential
"rental service representative in other machinery, equipment and tangible goods",communicate with customers,essential
"rental service representative in other machinery, equipment and tangible goods",apply numeracy skills,essential
"rental service representative in other machinery, equipment and tangible goods",assist customers,essential
"rental service representative in other machinery, equipment and tangible goods",identify customer's needs,essential
"rental service representative in other machinery, equipment and tangible goods",handle rental overdues,essential
"rental service representative in other machinery, equipment and tangible goods",record customers' personal data,essential
"rental service representative in other machinery, equipment and tangible goods",process payments,essential
"rental service representative in other machinery, equipment and tangible goods",achieve sales targets,essential
"rental service representative in other machinery, equipment and tangible goods",manage claims process,essential
"rental service representative in other machinery, equipment and tangible goods",have computer literacy,essential
"rental service representative in other machinery, equipment and tangible goods",provide customer follow-up services,essential
"rental service representative in other machinery, equipment and tangible goods",review completed contracts,essential
"rental service representative in other machinery, equipment and tangible goods",process data,essential
"rental service representative in other machinery, equipment and tangible goods",handle financial transactions,essential
mine surveyor,geographic information systems,essential
mine surveyor,mathematics,essential
mine surveyor,manage staff,essential
mine surveyor,manage mine site data,essential
mine surveyor,process collected survey data,essential
mine surveyor,perform surveying calculations,essential
mine surveyor,write work-related reports,essential
mine surveyor,supervise staff,essential
mine surveyor,prepare scientific reports,essential
mine surveyor,create thematic maps,essential
mine surveyor,create gis reports,essential
mine surveyor,present reports,essential
mine surveyor,identify gis issues,essential
mine surveyor,dimension stone,optional
mine surveyor,minerals laws,optional
mine surveyor,mining engineering,optional
mine surveyor,delineate mine area,optional
mine surveyor,negotiate land access,optional
mine surveyor,operate surveying instruments,optional
food safety specialist,food legislation,essential
food safety specialist,infections in food,essential
food safety specialist,food storage,essential
food safety specialist,food authentication techniques,essential
food safety specialist,food fraud,essential
food safety specialist,food preservation,essential
food safety specialist,maintain personal hygiene standards,essential
food safety specialist,prepare reports on sanitation,essential
food safety specialist,keep task records,essential
food safety specialist,monitor packaging operations,essential
food safety specialist,develop food safety programmes,essential
food safety specialist,control food safety regulations,essential
food safety specialist,train employees,essential
food safety specialist,cold chain,optional
food safety specialist,food homogenisation,optional
food safety specialist,food policy,optional
food safety specialist,management systems standards,optional
food safety specialist,ensure correct goods labelling,optional
food safety specialist,develop food policy,optional
food safety specialist,audit food safety procedures,optional
food safety specialist,monitor sugar uniformity,optional
land-based machinery technician,mechanical tools,essential
land-based machinery technician,principles of mechanical engineering,essential
land-based machinery technician,hydraulics,essential
land-based machinery technician,health and safety regulations,essential
land-based machinery technician,maintain agricultural machinery,essential
land-based machinery technician,manoeuvre heavy trucks,essential
land-based machinery technician,diagnose fuel systems,essential
land-based machinery technician,assemble machines,essential
land-based machinery technician,drive agricultural machines,essential
land-based machinery technician,repair equipment on site,essential
land-based machinery technician,inspect machinery,essential
land-based machinery technician,vehicle electrical systems,optional
land-based machinery technician,road traffic laws,optional
land-based machinery technician,engine components,optional
land-based machinery technician,repair vehicle electrical systems,optional
land-based machinery technician,use different communication channels,optional
land-based machinery technician,manage production enterprise,optional
land-based machinery technician,keep task records,optional
land-based machinery technician,repair metal sheets,optional
land-based machinery technician,listen actively,optional
land-based machinery technician,coordinate operational activities,optional
land-based machinery technician,manage maintenance operations,optional
land-based machinery technician,maintain irrigation systems,optional
land-based machinery technician,clean vehicle engine,optional
land-based machinery technician,fabricate metal parts,optional
land-based machinery technician,disassemble engines,optional
land-based machinery technician,control of expenses,optional
bus driver,road traffic laws,essential
bus driver,mechanical components of vehicles,essential
bus driver,transport topography,essential
bus driver,passenger transport regulations,essential
bus driver,focus on passengers,essential
bus driver,communicate with customers,essential
bus driver,apply conflict management,essential
bus driver,provide first aid,essential
bus driver,drive in urban areas,essential
bus driver,read maps,essential
bus driver,use different communication channels,essential
bus driver,manoeuvre bus,essential
bus driver,communicate clearly with passengers,essential
bus driver,ensure vehicle operability,essential
bus driver,stay alert,essential
bus driver,use communication devices,essential
bus driver,keep time accurately,essential
bus driver,assist passengers,essential
bus driver,provide information to passengers,essential
bus driver,operate gps systems,essential
bus driver,lift heavy weights,essential
bus driver,interpret traffic signals,essential
bus driver,clean road vehicles,essential
bus driver,assist disable passengers,essential
bus driver,organise vehicle breakdown support,essential
bus driver,perform defensive driving,essential
bus driver,execute vehicle maintenance,optional
bus driver,handle petty cash,optional
import export manager in meat and meat products,embargo regulations,essential
import export manager in meat and meat products,export control principles,essential
import export manager in meat and meat products,international commercial transactions rules,essential
import export manager in meat and meat products,food hygiene rules,essential
import export manager in meat and meat products,meat and meat products,essential
import export manager in meat and meat products,international import export regulations,essential
import export manager in meat and meat products,regulations on substances,essential
import export manager in meat and meat products,create solutions to problems,essential
import export manager in meat and meat products,apply conflict management,essential
import export manager in meat and meat products,monitor international market performance,essential
import export manager in meat and meat products,speak different languages,essential
import export manager in meat and meat products,set import export strategies,essential
import export manager in meat and meat products,control trade commercial documentation,essential
import export manager in meat and meat products,ensure customs compliance,essential
import export manager in meat and meat products,conduct performance measurement,essential
import export manager in meat and meat products,comprehend financial business terminology,essential
import export manager in meat and meat products,meet deadlines,essential
import export manager in meat and meat products,manage processes,essential
import export manager in meat and meat products,produce sales reports,essential
import export manager in meat and meat products,have computer literacy,essential
import export manager in meat and meat products,maintain financial records,essential
import export manager in meat and meat products,direct distribution operations,essential
housing policy officer,government policy implementation,essential
housing policy officer,real estate market,essential
housing policy officer,public housing legislation,essential
housing policy officer,influence public policies,essential
housing policy officer,create solutions to problems,essential
housing policy officer,advise on drafting policies,essential
housing policy officer,plan public housing,essential
housing policy officer,analyse legislation,essential
housing policy officer,set organisational policies,essential
housing policy officer,compare property values,essential
housing policy officer,advise on legislative acts,essential
housing policy officer,manage government policy implementation,essential
housing policy officer,government representation,optional
housing policy officer,urban sustainability,optional
housing policy officer,government policy,optional
housing policy officer,market analysis,optional
housing policy officer,policy analysis,optional
housing policy officer,scientific research methodology,optional
housing policy officer,monitor policy proposals,optional
housing policy officer,perform scientific research,optional
housing policy officer,inspect government policy compliance,optional
housing policy officer,monitor legislation developments,optional
housing policy officer,develop professional network,optional
housing policy officer,liaise with politicians,optional
housing policy officer,advise on housing,optional
housing policy officer,perform property market research,optional
head chef,food waste monitoring systems,essential
head chef,food storage,essential
head chef,types of whisks,essential
head chef,manage budgets,essential
head chef,handle customer complaints,essential
head chef,manage staff,essential
head chef,recruit employees,essential
head chef,use food preparation techniques,essential
head chef,plan menus,essential
head chef,assist customers,essential
head chef,plan shifts of employees,essential
head chef,supervise food quality,essential
head chef,perform procurement processes,essential
head chef,use reheating techniques,essential
head chef,use culinary finishing techniques,essential
head chef,manage hospitality revenue,essential
head chef,control of expenses,essential
head chef,train employees,essential
head chef,manage stock rotation,essential
head chef,use cooking techniques,essential
head chef,compile cooking recipes,essential
head chef,molecular gastronomy,optional
head chef,manage inspections of equipment,optional
head chef,identify suppliers,optional
head chef,cook pastry products,optional
head chef,upsell products,optional
head chef,handle chemical cleaning agents,optional
head chef,negotiate supplier arrangements,optional
head chef,create decorative food displays,optional
head chef,manage medium term objectives,optional
head chef,manage contract disputes,optional
head chef,check deliveries on receipt,optional
head chef,prepare flambeed dishes,optional
nonwoven filament machine operator,nonwoven machine technology,essential
nonwoven filament machine operator,textile chemistry,essential
nonwoven filament machine operator,manufacture textile floor coverings,essential
nonwoven filament machine operator,control textile process,essential
nonwoven filament machine operator,manufacture non-woven filament products,essential
nonwoven filament machine operator,properties of textile materials,optional
nonwoven filament machine operator,textile industry,optional
nonwoven filament machine operator,textile technologies,optional
nonwoven filament machine operator,basic chemicals,optional
nonwoven filament machine operator,manufacture man-made fibres,optional
nonwoven filament machine operator,manufacture woven fabrics,optional
nonwoven filament machine operator,manufacture staple yarns,optional
nonwoven filament machine operator,produce textile samples,optional
nonwoven filament machine operator,tend spinning machines,optional
nonwoven filament machine operator,tend textile printing machines,optional
nonwoven filament machine operator,evaluate textile characteristics,optional
nonwoven filament machine operator,pleat fabrics,optional
head of higher education institutions,curriculum standards,essential
head of higher education institutions,education law,essential
head of higher education institutions,curriculum objectives,essential
head of higher education institutions,cooperate with education professionals,essential
head of higher education institutions,guarantee students' safety,essential
head of higher education institutions,represent the organisation,essential
head of higher education institutions,develop organisational policies,essential
head of higher education institutions,manage staff,essential
head of higher education institutions,manage school budget,essential
head of higher education institutions,monitor educational developments,essential
head of higher education institutions,assess students,essential
head of higher education institutions,lead board meetings,essential
head of higher education institutions,write work-related reports,essential
head of higher education institutions,liaise with board members,essential
head of higher education institutions,present reports,essential
head of higher education institutions,analyse staff capacity,essential
head of higher education institutions,liaise with educational staff,essential
head of higher education institutions,labour legislation,optional
head of higher education institutions,assessment processes,optional
head of higher education institutions,funding methods,optional
head of higher education institutions,trade union regulations,optional
head of higher education institutions,green space strategies,optional
head of higher education institutions,contract law,optional
head of higher education institutions,learning difficulties,optional
head of higher education institutions,post-secondary school procedures,optional
head of higher education institutions,university procedures,optional
head of higher education institutions,education administration,optional
head of higher education institutions,manage government-funded programmes,optional
head of higher education institutions,evaluate education programmes,optional
head of higher education institutions,assess employees' capability levels,optional
head of higher education institutions,recruit employees,optional
head of higher education institutions,promote education course,optional
head of higher education institutions,identify education needs,optional
head of higher education institutions,manage space utilisation,optional
head of higher education institutions,promote education programmes,optional
head of higher education institutions,manage contracts,optional
head of higher education institutions,coordinate educational programmes,optional
head of higher education institutions,manage student admissions,optional
head of higher education institutions,develop professional network,optional
head of higher education institutions,apply for government funding,optional
head of higher education institutions,analyse curriculum,optional
insulation supervisor,types of insulation material,essential
insulation supervisor,energy performance of buildings,essential
insulation supervisor,airtight construction,essential
insulation supervisor,environmental indoor quality,essential
insulation supervisor,construction industry,essential
insulation supervisor,organise labour,essential
insulation supervisor,prepare facade cladding,essential
insulation supervisor,lead a team,essential
insulation supervisor,design the insulation concept,essential
insulation supervisor,inspect construction supplies,essential
insulation supervisor,install insulation material,essential
insulation supervisor,plan shifts of employees,essential
insulation supervisor,inspect insulation,essential
insulation supervisor,order construction supplies,essential
insulation supervisor,process incoming construction supplies,essential
insulation supervisor,design building envelope systems,essential
insulation supervisor,coordinate construction activities,essential
insulation supervisor,scaffolding components,optional
insulation supervisor,construction product regulation,optional
insulation supervisor,envelope systems for buildings,optional
insulation supervisor,energy efficiency,optional
insulation supervisor,advise on construction materials,optional
insulation supervisor,prepare site for construction,optional
insulation supervisor,apply proofing membranes,optional
insulation supervisor,oversee construction project,optional
insulation supervisor,attach roofing cover,optional
insulation supervisor,design building air tightness,optional
insulation supervisor,prepare construction documents,optional
