occupation,occupation_aliases
fuel station specialised seller,petrol station specialised seller|petrol station salesperson|supermarket filling station salesperson|retail fuel manager|garage salesperson|fuel retail specialised seller|fuel station specialized seller|gas station specialised seller|petrol site salesperson|gas station salesperson|garage specialised seller|supermarket filling station specialised seller|retail fuel forecourt specialised seller|petrol site specialised seller|retail forecourt salesperson|fuel site specialised seller|retail fuel forecourt salesperson|fuel retail salesperson|retail forecourt specialised seller|fuel site salesperson
derrickhand,derrick operator|member of the drilling crew|derrickwoman|derrickman
corrosion technician,offshore corrosion technician|surface technician|corrosion monitoring technician|pipeline operations technician|pipeline corrosion control technician|corrosion supervisor|cathodic protection technician|corrosion control technician|surface coating technician
product development engineering technician,product development systems engineer|product development mechanical engineer|product development specialist|product development engineer|production test operator|product development scientist|product development automation engineer|product development consultant engineer|product development research engineer|product development electrical engineer|product development conservation engineer|product development test engineer|product development equipment engineer
marine upholsterer,marine upholstery finisher|marine interior furniture maker|marine soft furnishing maker|marine furniture maker|marine upholstery maker|ship upholsterer|boat upholsterer|marine upholstery assembler|marine upholstery repairer
destination manager,destination development manager|organisation manager|destination marketing manager|destination management organisation (dmo) manager|tourism strategy manager
underground heavy equipment operator,underground miner (heavy equipment)|miners|coalface miner|mine machine operator|underground miner equipment operator|underground miner operator|heavy equipment operators
grader operator,grader worker|grader operative|motor-grader driver|grader driver
employment agent,job placement officer
import export manager in perfume and cosmetics,international trade manager in perfume and cosmetics|graduate import export manager in perfume and cosmetics|international trade compliance manager in perfume and cosmetics|assistant import export manager in perfume and cosmetics|trainee import manager in perfume and cosmetics|trainee import export manager in perfume and cosmetics|graduate export manager in perfume and cosmetics|graduate import manager in perfume and cosmetics|senior import manager in perfume and cosmetics|assistant export manager in perfume and cosmetics|senior export manager in perfume and cosmetics|assistant import manager in perfume and cosmetics|customs compliance manager in perfume and cosmetics|senior import export manager in perfume and cosmetics|trainee export manager in perfume and cosmetics
scopist,freelance scopist
solar energy engineer,solar energies engineer|solar energy engineering consultant|solar engineer|solar energy systems engineer|solar power engineer|solar energy technology engineer|solar energy technology engineering adviser|solar energy engineering adviser|solar energy engineering expert|solar energy technology engineering expert|solar energy technology engineering specialist|solar energy technology engineering consultant|solar energy engineering specialist
rolling stock inspector,rolling stock supervisor|inspector of rolling stock|carriage supervisor|railway inspector|carriage inspector|railway carriage and wagon inspector|supervisor of rolling stock|rail car inspector|railway carriage and wagon supervisor
drawing artist,illustrator|street artist|artist|cartoon artist|visual art expert
chimney sweep supervisor,lump sweeper supervisor|flue sweeper supervisor|smoke-stack sweeper supervisor|funnel sweeper supervisor|chimney-sweeping chief|chimney sweeper supervisor
"import export manager in coffee, tea, cocoa and spices","senior import export manager in coffee, tea, cocoa and spices|graduate export manager in coffee, tea, cocoa and spices|graduate import export manager in coffee, tea, cocoa and spices|international trade manager in coffee, tea, cocoa and spices|trainee import export manager in coffee, tea, cocoa and spices|trainee import manager in coffee, tea, cocoa and spices|senior export manager in coffee, tea, cocoa and spices|customs compliance manager in coffee, tea, cocoa and spices|assistant import export manager in coffee, tea, cocoa and spices|assistant import manager in coffee, tea, cocoa and spices|graduate import manager in coffee, tea, cocoa and spices|trainee export manager in coffee, tea, cocoa and spices|assistant export manager in coffee, tea, cocoa and spices|senior import manager in coffee, tea, cocoa and spices|international trade compliance manager in coffee, tea, cocoa and spices"
planer thicknesser operator,thickness specialist|thicknesser technician|jointer technician|planer thicknesser technician|thickness technician|thickness operator|jointer specialist|thicknesser specialist|planer thicknesser worker|planer thicknesser specialist|planer operator|thicknesser operator|over-and-under operator|over-and-under technician|thickness planer specialist|thickness planer technician|planer thicknesser|over-and-under specialist|jointer operator|thickness planer operator|planer specialist|planer technician
optical instrument production supervisor,optical equipment assembly manager|optical instrument assembly supervisor|optical equipment production manager|optical instrument manufacturing supervisor|manager of optical instrument production|optical equipment manufacturing supervisor|supervisor of optical instrument production|optical instrument production manager|optical instrument production line manager
road roller operator,ride on roller driver|walk-behind road roller operator|vibrating roller driver|walk-behind roller operator|roller operator|ride on road roller operator|rough roller operator|road roller driver|roller-compactor operator|roller driver|roller operative|roller-compactor driver|vibrating roller operator|ride on roller operator
dairy products maker,traditional style diary products maker|ice-cream maker|butter producer|cream maker|cream producer|cheese spread maker|ice-cream producer|cheese maker|artisan dairy products maker|artisanal dairy products maker|craft dairy products maker|cheese spread producer|yoghurt producer|heritage dairy products maker|farmhouse dairy products maker|cheese producer|yoghurt maker|butter maker
hydrographic surveyor,hydrography surveyor|hydrographic science researcher|hydrographic research analyst|hydrographic scientist|hydrographic analyst|field hydrographer|hydrographer|hydrographic researcher|hydrographic research scientist
auger press operator,auger extrusion press operator|manual control auger press worker|manual control auger press operative|drain tile press operator|auger press operative manual control|flue tile press operator|auger press operative|manual control auger press operator|sewer pipe press operator|auger press worker
healthcare inspector,healthcare inspectors|healthcare environment inspector|medical facilities inspector|health care environment inspector|health care inspector|care commission inspector|health care facilities inspector|health care enforcement inspector|healthcare facilities inspector|healthcare enforcement inspector|health facilities surveyor|hospital inspector
battery test technician,battery quality technician|battery test engineer|technician in battery inspection|battery tester|battery test laboratory technology specialist|battery test lab technology specialist|battery test laboratory technologist|battery test lab technician|battery technician|battery test laboratory technology expert|battery test laboratory technician|battery testing technician|battery test technology expert|battery test technology specialist|battery test tech|battery diagnostic test technician|battery inspection technician|battery test lab technologist|technician in battery testing|battery test technologist|battery diagnostic testing technician|battery tech|battery inspector|tester of batteries|battery test lab technology expert
doorman/doorwoman,bouncer|club doorman/doorwoman|doorwoman|hotel doorman/doorwoman|door keeper|club doorwoman|hotel doorwoman|hotel doorman|club doorman|door security staff|doorman
behavioural scientist,behavioural science scholar|behavioural science research analyst|behavioural science analyst|behavioural science researcher
automotive engineering technician,truck engineering technician|motorcycle design checker|lorry design checker|car design checker|coach engineering technician|car engineering technician|automotive design checker|vehicle production design checker|bus design checker|equipment and vehicle technician|vehicle production engineering technician|truck design checker|coach design checker|motor vehicle design checker|lorry engineering technician|motorcycle engineering technician|bus engineering technician
land planner,city planner|town planner|urban planner|land use planner|land developer|city planning engineer|urban land planner|civil engineer|planning engineer|planner|land manager|planning technician
glass polisher,glass finisher|glass edge grinder|plate glass polisher|glass production polisher|glass grinder
"agricultural raw materials, seeds and animal feeds distribution manager","agricultural raw materials, seeds and animal feeds logistics manager|agricultural raw materials, seeds and animal feeds supply chain planner|graduate agricultural raw materials, seeds and animal feeds distribution manager|assistant agricultural raw materials, seeds and animal feeds distribution manager|senior agricultural raw materials, seeds and animal feeds distribution manager|trainee agricultural raw materials, seeds and animal feeds distribution manager|agricultural raw materials, seeds and animal feeds logistics planner|agricultural raw materials, seeds and animal feeds distribution planner|agricultural raw materials, seeds and animal feeds supply chain manager"
wood drying kiln operator,wood-drying kiln specialist|wood drying kiln specialist|dry kiln technician|wood-drying kiln operator|drying kiln technician|wood-drying kiln technician|wood drying kiln operative|dry kiln operator|dry kiln specialist|drying kiln operator|drying kiln specialist|wood drying kiln worker|wood drying kiln technician
laundry and dry cleaning manager,laundry and dry cleaning service manager|laundry and dry cleaning coordinator|laundry and dry-cleaning service manager|dry cleaning service manager|dry-cleaning and laundry supervisor|laundry and dry-cleaning coordinator|dry-cleaning service manager|laundry manager|laundromat manager|dry cleaning and laundry supervisor|laundry service manager|launderette manager
budget manager,budget coordinator|money manager|budget and planning manager|budget and policy manager|budgeting manager|budget counselor|budget and analysis manager
airside safety manager,aviation safety manager|director of airside safety|manager of airside safety|aviation safety director|airport safety manager|airport safety director|airside safety director
cargo vehicle driver,van driver|hgv driver|delivery driver|trucker|teamster|truckie|courier delivery driver|heavy goods vehicle driver|truck driver|lorry driver|package delivery driver|driver of cargo vehicles|courier|freight driver
music arranger,orchestrator|arranger|arrangement expert|arranger & orchestrator|arranger and orchestrator|musical arrangement specialist|musical arrangement consultant
dewatering technician,filter operator|site services technician|surface dewaterer|filter operators|dewatering equipment operator|dewatering filter operator|dewatering operator|dewatering equipment technician|infrastructure technician|dewatering techicians
ict capacity planner,ict capacity planners|it capacity planner|ict capability manager|it capability planner|ict performance manager
metallurgical manager,metallurgical engineer|metallurgy manager|plant metallurgist|metallurgy specialist|chief metallurgist|head metallurgist
farm manager,agricultural manager|agricultural operations manager|farming operations manager|farmer
air traffic instructor,air traffic control trainer|air traffic control instructor|air traffic trainer|instructor of air traffic control
plastic and rubber products manufacturing supervisor,plastics and rubber products manufacturing coordinator|plastic and rubber goods production supervisor|plastics and rubber goods manufacturing manager|plastics and rubber products manufacturing supervisor|plastic products manufacturing supervisor|plastics and rubber goods manufacturing supervisor|plastic goods production supervisor|rubber goods manufacturing supervisor|plastics products manufacturing supervisor|plastics and rubber products manufacturing manager|plastic goods manufacturing supervisor|rubber products manufacturing supervisor|plastics and rubber goods manufacturing coordinator|rubber goods production supervisor|plastics and rubber goods production supervisor
ict application configurator,app configurator|software application configurator|application configurators|application software configurator
digital literacy teacher,digital literacy trainer|computer literacy instructor|computer literacy teacher|digital literacy teaching practitioner|digital literacy instructor|digital literacy lecturer|educator in digital literacy|teacher of digital literacy|digital literacy educator
credit union manager,credit unions examiner|financial cooperative manager|credit union specialist|credit union branch manager|credit union principal examiner|credit unions supervisor|credit union field examiner|credit union examiner
leather goods quality control laboratory technician,leather goods quality assurance laboratory technologist|leather goods qc laboratory technician|qc laboratory technician leather goods|qc/qa laboratory technician leather goods|leather goods qc/qa laboratory technician|leather goods qa/qc laboratory technologist|leather goods quality control laboratory specialist|leather goods qc laboratory specialist|leather goods quality control laboratory technologist|leather goods qc laboratory technologist|leather goods quality assurance laboratory specialist
drain technician,sewer inspector|drain cleaner|sewer pipe repairer|sewer and drain inspector|plumbing and drainage technician|sewer line repairer|sewer cleaner|public works inspector|sewer technician|service drain inspector|sewer and drain repairer|sewer pipe inspector|storm water drain technician|flood risk technician|drainage systems technician|drainage system technician|water and drainage technician|water resources technician|sewer line inspector
electricity and energy vocational teacher,electricity and energy instructor|teaching practitioner in electricity and energy|vocational teacher in electricity and energy|teacher of electricity and energy|electricity and energy vocational trainer|instructor in energy and electricity|educator in electricity and energy
herbal therapist,iridologist|practitioner of herbal medicine|herbal medicine therapist|practitioner of herbal therapy|medical herbalist|naturopathic physician|herbal medicine practitioner|phytotherapist|herbalist|herbal practitioner
audio and video equipment shop manager,hi-fi shop manager|audio and video shop manager|home entertainment store manager|audio and video equipment store manager|audio-visual store manager|audio-visual shop manager|multimedia store manager|multimedia superstore manager|audio and video store manager|home entertainment superstore manager|home entertainment shop manager|multimedia equipment shop manager|hi-fi store manager
bus driving instructor,driving instructor|driver training instructor|driver education instructor|pcv driving instructor|bus driver training instructor|coach driver training instructor|cat d driving instructor|coach driving instructor|bus driver instructor|cat d instructor|bus driving training instructor|pcv instructor
well-digger,geotechnical driller|water borehole digger|water well-digger|drillers offsider|water well driller|borehole digger|waterwell driller|environmental driller|water borehole driller|surface driller|well technician|drilling supervisor
photography teacher,photography educator|teacher of photography|tutor in photography|photography tutor|educator in photography|teacher of media arts|media arts teacher|photography instructor|instructor in photography
industrial arts vocational teacher,industrial arts educator|industrial arts instructor|industrial arts vocational instructor|industrial arts teacher|technical handicraft instructor|technical handicraft teacher|vocational teacher in industrial arts|educator in industrial arts|vocational instructor in industrial arts
civil engineering worker,construction worker|civil engineering company worker|civils ground worker|site worker|civils groundworker|groundworker|civils worker|civils operative|civil engineering contract worker|ground worker|building worker
helicopter pilot,commercial helicopter pilot|airline helicopter transport pilot|helicopter operator|pilot of helicopters
swimming facility attendant,pool attendant|attendant in swimming pool|beach attendant|swimming pool cleaner|swimming pool attendant
marketing consultant,air transport marketer|marketing adviser|marketing analyst|marketing advisor|marketing specialist|sales and marketing consultant|digital marketing strategist|marketing campaign planner|strategic marketing consultant
advertising media buyer,radio buyer|media space buyer|media buyer and planner|media buyer & planner|radio media buyer|advertising media specialist|space buyer|senior media buyer|media buyer|advertisment media buyer|media and advertising buyer|press buyer|international media buyer|tv buyer
journalism lecturer,journalism professor|journalism lector|journalism teacher|journalism and media docent|media studies instructor|journalism and media lecturer|specialist lecturer in journalism|journalism docent|professor of media studies|instructor in journalism|journalism and media instructor|journalism and media professor|higher education journalism teacher|journalism instructor|professor of journalism|lecturer of journalism|lecturer in journalism and media studies|journalism and media teacher|university lecturer in journalism|university journalism lecturer|lecturer in journalism|media studies professor|lecturer in journalism and media|media studies teacher|media studies lecturer|media studies docent
gas processing plant control room operator,process plant operator|panel controller|gas processing plant operator|gas processing control room manager|panel board operator|gas processing control room supervisor|process control operator|gas process operator|plant monitoring operator|gas processing control room technician|control panel monitor|process control room operator|monitoring panel operator
offshore renewable energy plant operator,tidal farm operator|ocean energy plat operator|wave farm operator|marine renewable energy plant operator|marine wind energy operator|marine tidal stream operator|ore plant operator|marine wave energy operator|wave energy plant operator|offshore wind energy operator|wave energy operator|marine wind energy technician
jewellery and watches shop manager,diamond shop manager|diamonds and precious metals store manager|luxury watches and diamond jewellery store manager|jewellery shop manager|jewellery store manager|luxury watches and diamond jewellery shop manager|jewellery and watches store manager|jewelry and watches shop manager|diamonds and precious metals jewellery shop manager|diamond store manager
dredge operator,dredger operator|port dredger operator|dredge operatr|dredde operator|port dredge operator
liquid fuel engineer,gas liquids engineer|chemical engineer|fuel chemist|biofuel specialist|fuel system engineer|petrol specialist|fuel engineer|liquid fuel system maintenance engineer|natural gas engineer|natural gas specialist|fuel specialist|petrol engineer|biofuel engineer
performance rental technician,load cell hire technician|equipment hire technician|rental equipment performance technician|lighting hire equipment technician|venue technician (rental equipment)|rental equipment performance engineer|equipment technician|performance rental engineer|sound equipment hire technician|special effects hire equipment technician|weight report technician|performance rental monitor|venue performance monitor
marketing assistant,general marketing assistant|marketing associate|marketing officer|marketing operations assistant|marketing executive assistant|marketing practitioner
photojournalist,photo reporter|image journalist|multi media image journalist|news photographer|photo correspondent|investigative photographer|photo-journalist|visual journalist|newspaper photographer|photo journalist|photographic journalist
edge bander operator,banding machine operator|adhesive bonding machine worker|edge bander operative|edgebander operative|banding machine worker|banding machine setter|adhesive bonding machine setter|edge bander worker|adhesive bonding machine tender|edgebander setter|banding machine operative|edgebander worker|edge bander tender|adhesive bonding machine operative|edgebander tender|banding machine tender|edge bander setter|adhesive bonding machine operator
wholesale merchant in pharmaceutical goods,wholesale merchandiser in pharmaceutical goods|business to business sales consultant in pharmaceutical goods|wholesale buyer in pharmaceutical goods|wholesaler in pharmaceutical goods|assistant wholesale merchant in pharmaceutical goods|trainee wholesale merchant in pharmaceutical goods|graduate wholesale merchant in pharmaceutical goods|wholesale trader in pharmaceutical goods|senior wholesale merchant in pharmaceutical goods|b2b sales consultant in pharmaceutical goods|business to business seller in pharmaceutical goods
language engineer,computer-aided translation engineer|language technology engineering specialist|language engineering adviser|language technology engineering expert|language technology engineering consultant|language engineering specialist|computer-assisted translation engineer|language technology engineering adviser|cat engineer language engineering expert|machine translation engineer|language engineering consultant|linguistic engineer|language technology engineer|language technologist
hospitality entertainment manager,entertainment manager|holiday camp entertainment manager|resort entertainment manager|cruise entertainment manager|amusement manager|holiday entertainment manager|entertainments manager
pedicurist,mani-pedi attendant|foot care attendant
halal butcher,halal meat slicer|halal meat boner|halal meat butcher
animator,3d computer-generated imagery animator|3d computer animation artist|2d hand-drawn animator|computer animation artist|animators|animation specialist|2d computer animation artist|traditional animator|2d animation specialist|cgi animator|cartoon animator|2d animation designer|computer animator|3d animation artist|animation designer|3d animation specialist|animation artist|3d animation designer|2d animation artist|2d animator|hand-drawn animator
yarn spinner,spinning machine tender|spinning-frame tender|staple yarn spinner|cotton spinner|yarn spinners|spinning mechanics|thread spinner|spinning mechanic
communications lecturer,university communications teacher|lecturer in communication and media|lecturer in communications|communications professor|professor of communication|university communications lecturer|professor of communications|university lecturer in communications|communications teacher|higher education communications teacher|communications docent|lecturer of communications|communications instructor|communications lector|communication and media lecturer
atm repair technician,automated teller machine repair technician|atm servicer|cash machine repair technician|automatic teller machine repair technician|cashpoint repair technician
electrician,wirewoman|installation electrician|maintenance electrician|electrical maintenance technician|electrical systems installer|electrical installer|electrical services installer|electrical worker|electrical maintenance worker|wireman|large solar systems electrician
gambling quality assurance engineer,test operator in gambling|lottery quality assurance engineer|gaming quality assurance engineer|betting quality assurance engineer|betting quality controller|lottery quality controller|gambling engineer|gambling quality controller
wood and construction materials distribution manager,assistant wood and construction materials distribution manager|wood and construction materials supply chain planner|wood and construction materials supply chain manager|wood and construction materials logistics planner|graduate wood and construction materials distribution manager|wood and construction materials logistics manager|senior wood and construction materials distribution manager|trainee wood and construction materials distribution manager
make-up artist,make up artist|theatre makeup artist|prosthetics and make up artist|prosthetics & make up artist|prosthetics builder|prosthetics maker|special effects & make up artist|special effects & make-up artist|prosthetics & make-up artist|prosthetics make up artist|special effects make up artist|make-up specialist|make up specialist|fashion makeup artist|special effects and make-up artist|make-up consultant|prosthetics and make-up artist|special effects and make up artist|make up consultant|makeup stylist|special effects make-up artist|prosthetics make-up artist
property insurance underwriter,home office insurance underwriter|property underwriter|property insurance assessor|property and automobile underwriter
oenologist,wine advisor|wine maker|wine production specialist|wine producer|wine production expert|winery cellar master
sommelier,wine manager|restaurant sommelier|wine waiter
bindery operator,bindery specialist|paper binder|binder operator|bindery machine operator|bindery machine technician|bindery machine specialist|perfect binder operator|perfect bindery specialist|bindery worker|perfect binder technician|bookbinder|binder|binder machine tender|bindery operative|bindery technician|perfect bindery technician|perfect binder specialist|binding machine tender|bookbinding machine operator|printing stitcher operator|binder machine operator|binding machine operator|binding operator|binder specialist|perfect bindery operator|binder technician|perfect binding operator
lexicographer,bilingual dictionaries lexicographer|bilingual dictionary editor|dictionary editor|computational lexicographer|senior lexicographer|lexicologist|linguistic lexicographer
lottery manager,general manager|lottery general manager|senior lottery administrator|lottery managing director|lottery chief executive officer|lottery shop managing director|lottery shop senior administrator|lottery shop general manager|lottery shop manager|lottery shop chief executive officer
freight transport dispatcher,dispatching officer|air freight dispatcher|freight logistics dispatcher|freight dispatching operator|freight dispatcher|freight transportation dispatcher|freight dispatching officer|dispatcher of freight|dispatcher
chiropractor,etiopath|musculoskeletal therapist|neuromusculoskeletal therapist|licensed chiropractor
drawing kiln operator,drawing kiln worker|flat glass kiln operator|glass production operative|drawing kiln operative|glassmaker|glass kiln operator|drawing machine operative|drawing machine worker|glass operative
quick service restaurant team leader,fast food team leader|fast service team leader|fast service shift team leader|fast food shift team leader
"technical sales representative in hardware, plumbing and heating equipment","technical salesperson in hardware, plumbing and heating equipment|technical sales representative in heating equipment|technical salesman in hardware, plumbing and heating equipment|senior technical sales representative in hardware, plumbing and heating equipment|graduate technical sales engineer in hardware, plumbing and heating equipment|hardware sales representative|assistant technical sales engineer in hardware, plumbing and heating equipment|trainee technical sales representative in hardware, plumbing and heating equipment|technical sales representative in hardware|technical saleswoman in hardware, plumbing and heating equipment|senior technical sales engineer in hardware, plumbing and heating equipment|heating product sales representative|assistant technical sales representative in hardware, plumbing and heating equipment|trainee technical sales engineer in hardware, plumbing and heating equipment|technical sales representative in plumbing|graduate technical sales representative in hardware, plumbing and heating equipment|hardware, plumbing and heating sales representative"
surface grinding machine operator,back grinding machine operator|filling and grinding machine operator
surface miner,mine operative|surface mining operative|quarry stationary plant operative|collier
sole and heel operator,heel nailing machine operator|shoe cementer|heel nailing machine tender|sole cementer|sole blacker|sole stitcher
healthcare institution manager,general manager|health service manager|general manager healthcare|healthcare director|healthcare general manager|hospital operations supervisor|healthcare operations manager|hospital operations manager|healthcare operations director
insulating tube winder,"tube winding machine operative|tube winding machine setter|tube winder|convolute tube winder|winder, insulating tubes|tube winding machine tender|winding technician|tube winding machine operator"
materials engineer,construction materials engineering expert|materials engineering consultant|building materials engineering consultant|ceramic engineer|building materials engineer|construction materials engineer|materials engineering adviser|material engineer|battery materials engineer|construction materials engineering adviser|advanced materials engineer|building materials engineering expert|construction materials engineering specialist|materials engineering expert|building materials engineering adviser|construction materials engineering consultant|materials engineering specialist|building materials engineering specialist
tax compliance officer,revenue compliance officer|tax officer|council tax officer|enforcement agent|tax compliance agent|tax payment enforcement officer|tax enforcement officer|taxpayer compliance officer
army corporal,armed forces corporal|lance corporal|special forces corporal|royal marines corporal|corporal|batallion corporal|master corporal|regimental corporal
anatomical pathology technician,anatomical pathology technical assistant|assistant in anatomical pathology|assistant pathology technician|pathology laboratory services technician|pathology technician|anatomical pathology technologist|mortuary technician|pathology laboratory technician|technician in anatomical pathology
plastic heat treatment equipment operator,materials engineer|heat treat operator|heat treating operator|heat treat technician|metallurgical process engineer|heat treating equipment operator|heat treating equipment setter|heat treatment equipment engineer
horse trainer,riding instructor|horse riding coach|horse riding instructor|racehorse trainer|equine trainer|horse riding trainer|equestrian centre instructor|jockey trainer|riding school instructor|riding school trainer|dressage instructor|equestrian centre trainer
vehicle technician,car mechanic|automotive technician|lgv technician|truck mechanic|heavy vehicle technician|motorbike technician|light vehicle technician|bus mechanic|bus and coach technician|electric vehicle testing engineer|moped repairer|auto mechanic|pcv technician|van mechanic|senior bus technician|moped mechanic|coach technician|motorbike mechanic|electric vehicle car mechanic|bus technician|vehicle mechanic|road vehicle mechanic|automotive maintenance technician|automotive mechanic|moped technician|motorcycle mechanic|snowmobile mechanic|motor vehicle mechanic|motorbike repairer
second-hand goods specialised seller,second-hand goods specialized seller|army surplus goods specialised seller|second-hand goods salesperson|army surplus goods salesperson|second hand goods specialised seller|thrift shop salesperson|vintage clothes specialised seller|thrift shop specialised seller|charity shop salesperson|second hand bookshop salesperson|charity shop specialised seller|vintage clothes salesperson
membership manager,subscription manager|membership management officer|membership supervisor|membership sales manager|membership account manager|membership and subscription manager|membership director|membership coordinator|club manager|regional membership manager|member records manager
social worker,community worker|community counsellor|cultural mediator|social outreach worker|community services officer|community centre worker|child and youth worker|social services worker|community liaison worker|welfare worker|community development worker|community rehabilitation worker|community and social services worker|social and community services worker|social services assistant|community service worker
furniture specialised seller,home articles specialised seller|home furnishings salesperson|home furnishing salesperson|home furnishing specialised seller|lightning equipment and accessories salesperson|furniture salesperson|lightning equipment and accessories specialised seller|furniture and lighting sales person|home furnishings specialised seller|home articles salesperson|furniture and lighting specialised seller
environmental protection manager,environmental manager|environmental field office manager|environmental protection specialist|environmental impact assessment manager|environmental safety specialist
ict business analysis manager,it business analysis manager|it commercial analysis manager|it business analysis director|ict business analysis managers|lead it business analyst|ict commercial analysis manager
print studio supervisor,print senior technician|master printer|print studio team leader|print shop supervisor|print senior specialist|print senior operator|print production supervisor|superintendent in the printing industry|print studio teamleader|production supervisor in the printing industry|master bookbinder|print and production supervisor
paper machine operator,paper making machine operator|paper machine technician|paper making machine specialist|paper-making machine specialist|paper machine specialist|paper maker|paper-making machine operator|paper making machine technician|paper-making machine technician|paper machine hand
cylindrical grinder operator,automatic grinder operative|plate grinder|blade grinder|bit grinder|rail grinder|bearing grinder|billet grinder|roll grinder|razor grinder|rolling grinder|air grinder|bench grinder|disc grinder|drill grinder|automatic grinder operator|metal grinder|broach grinder|crankshaft grinder|edge grinder|emery grinder
food technologist,food tech specialist|food technology specialist|food technology expert|food tech expert
non-vessel operating common carrier,freight forwarder|nvocc|shipment consolidator
oceanographer,marine geologist|marine physicist|oceanography scientist|oceanography science researcher|oceanographers|oceanography research scientist|marine chemist|oceanography analyst|oceanography research analyst|marine research scientist|oceanography researcher
leather laboratory technician,leather chemical tester|leather chemist|leather tester|leather chemical laboratory technician|leather chemical technician|leather testers|leather dye and chemical coordinator|leather laboratory technicians
securities trader,securities sales agent|securities sales director|securities teller|securities sales directors|securities tellers|securities sales agents|securities clerks|securities clerk
youth offending team worker,youth offender team worker|juvenile probation social worker|juvenile probation officer|youth offender social worker|youth offending team officer|youth resettlement officer|youth justice worker|youth offending team leader|youth resettlement worker
aeronautical information service officer,officer in aeronautical information|aeronautical data service officer|aeronautical information officer
fire prevention and protection engineer,fire protection and prevention engineer|fire prevention and protection engineering expert|fire prevention engineer|fire prevention and protection technology engineering consultant|fire prevention and protection technology engineer|fire prevention and protection engineering specialist|fire prevention and protection technology engineering expert|fire prevention and protection engineering adviser|fire prevention and protection technology engineering adviser|fire prevention and protection technology engineering specialist|fire prevention and protection engineering consultant|fire protection engineer
airport chief executive,airport manager|airport chief operating officer|airport general manager|airport ceo|general director of airport
book editor,editorial director of publications|acquisitions editor|commissioning editor|book editor and consultant|manuscripts editorial director|senior book editor|book editorial director|book editor and publisher|children's book editor|book editor and project manager
import export manager in office furniture,assistant import manager in office furniture|international trade manager in office furniture|senior export manager in office furniture|customs compliance manager in office furniture|senior import manager in office furniture|trainee import export manager in office furniture|graduate import export manager in office furniture|assistant export manager in office furniture|senior import export manager in office furniture|assistant import export manager in office furniture|trainee import manager in office furniture|international trade compliance manager in office furniture|graduate import manager in office furniture|graduate export manager in office furniture|trainee export manager in office furniture
benefits advice worker,social security social worker|welfare benefits social worker|employment and benefits advice worker|welfare rights adviser|welfare rights counsellor|welfare rights officer|social benefits social worker|welfare rights worker|benefit advisor|welfare benefits advice worker|welfare benefits adviser
electricity sales representative,electricity sales consultant|electricity salesman|electric power seller|residential electricity sales representative|electricity saleswoman|electricity seller|electricity sales rep|electric power sales negotiator|electric power sales promoter|electricity salesperson|electricity sales negotiator|electricity sales promoter|electric power sales consultant
investor relations manager,investors relation manager|investor relations director|investment strategy manager|investor relations supervisor
winding machine operator,bobbin winder|winding operator|core winding operator|winder operator|core winder machine operator|machine bobbin winder|winding machinist|winder tender|winding machine tender
family support worker,family service worker|intensive family support worker|children and families support worker|family engagement worker|family advice worker|family intervention worker|family social care worker|family worker (early intervention)|early intervention worker (families)|early help family worker
fire protection technician,fire protection service engineer|senior fire engineer|fire and security systems engineer|fire alarm service technician|fire suppression engineer|fire risk assessor|fire and security maintenance engineer
intelligence officer,cyber investigator|intelligence research specialist|cyber threat intelligence specialist|research & intelligence officer|counter-terrorism analyst|criminal intelligence analyst|military intelligence officer|intelligence analyst|housing intelligence officer|intelligence research officer|intelligence investigator|research and intelligence officer
street warden,countryside ranger|neighborhood warden|warden|bylaw enforcement officer|neighbourhood warden|special constable|environmental warden|community support officer|community safety warden
foreign correspondent,foreign news correspondent|on-the-scene reporter|international correspondent|foreign reporter|foreign affairs correspondent|foreign journalist
underground miner,collier|coal hewer|underground mine operative|coal excavator|underground mining operative|coal digger|underground mine worker|underground mineworker|hewer|coal cutter
official veterinarian,government veterinary officer|veterinary inspector|state vet|official vet|public health veterinarian|government vet
3d printing technician,3d printer operator|printing machine technician|3d printer repairman|3d printing operator|3d printing prototyping technician|printer repairman|printer repairer|3d printing repairer|print service technician|3d printer repairer|3d printing repairman|printer technician|3d printing field service technician|prototyping technician|3d print service technician|printing field service technician
boom operator,tv boom operator|shotgun microphone operator|production sound mixer assistant|shotgun operator|boom holder|sound equipment technician|film boom operator
early years teaching assistant,reception teaching assistant|assistant in early years teaching|preschool teaching aide|early childhood teaching aide|early childhood teaching assistant|nursery teaching aide|nursery teaching assistant|assistant in early years education|early years ta|kindergarten teaching assistant
electronics engineer,electronic technology engineering consultant|electronics engineering specialist|electronic technology engineer|electronic engineer|electronics engineering adviser|electronics engineering expert|electronics engineering consultant|electro engineer|electronic technology engineering expert|electronic technology engineering adviser|electronic technology engineering specialist
production designer,production design manager|film production designer|art department lead|art department manager|tv production designer|television production designer|art department supervisor|animation production designer
agricultural engineer,agricultural technology engineer|agricultural landscape engineer|agricultural technology engineering expert|agricultural technology engineering specialist|agricultural technology engineering consultant|agricultural engineering expert|agriculture engineer|agricultural engineering consultant|agricultural engineering adviser|agricultural consultant engineer|agricultural technology engineering adviser|agricultural engineering specialist
