occupation,occupation_aliases
biomedical engineer,biomedical technology engineering specialist|biomedical technology engineering consultant|bme consultant|bme specialist|bme expert|biomedical technology engineering adviser|biomedical technology engineer|bme adviser|bio-medical engineer|biomedical engineering specialist|biomedical engineering consultant|biomedical engineering expert|biomedical engineering adviser|biomedical technology engineering expert
legal guardian,conservator|department of work and pensions appointee|court-appointed guardian|foster parent|intervenor|legal parent|welfare guardian|youth legal guardian|financial guardian
weaver,weaving machinist|weaving machine operator|needle loom operator|textile weaver|fabric weaver|weaving foreman|weaving forewoman|needle loom weaver|weaving inspector|cloth weaver|manufacturing weaver|loom operator
tile fitter,tiler|marble setter|floor tiler|tilefitter|surface tiler|tilesetter|mosaic tiler|tile installer|wall tiler|tiling worker
shoe and leather accessories shop manager,shoe store manager|cobblers shop manager|footwear store manager|shop manager (footwear and leather goods retail store)|leather accessories shop manager|shoe shop manager|cobblers store manager|leather accessories store manager|shoe and leather accessories store manager
tour operator manager,tour operators manager|package tour operators manager|package tour operator manager|package tour services manager|package tour manager
bee breeder,bees rearer|bee rearer|bee specialist|beekeeper|bees breeder
legal administrative assistant,legal secretary|certified legal assistant|collection legal assistant|certified legal secretary specialist|litigation legal assistant|paralegal assistant|legal administrative secretary|litigation secretary|legal executive secretary|certified legal secretary
petroleum pump system operator,petroleum refinery pump operator
protective clothing apparel manufacturer,manufacturer of protective equipment|protective gear manufacturer|manufacturer of protective clothing|protective clothes manufacturer|manufacturer of safety clothing
coating machine operator,coating machine operative|spraying machine operator|coating and embossing operator|coater|coater associate|painting machine operator|coater adjuster|coating and baking operator|coater technician|coating and embossing unit operator|coating machine technician|coater operator
aquaculture hatchery manager,aquaculture hatchery supervisor|manager of aquaculture hatchery|fish farm hatchery supervisor
gear machinist,mechanical gear machinist|gear change machinist|electrical gearing machinist|mechatronic gearing machinist|precision gearing machinist|precision gear machinist|mechanical gearing machinist|mechatronic gear machinist|auto change machinist|automotive gearing machinist|auto machinist|electrical gear machinist|automotive gear machinist
rooms division manager,head receptionist|rooms and reservations manager|front office manager|rooms manager|reception manager|director of rooms|front desk manager|reservations manager
ceramic painter,ceramic designer and painter|ceramics painter|ceramic painter and decorator|ceramic designer & painter|ceramic artist|decorator of ceramics|ceramic painter & decorator|painter of ceramic articles|ceramic decorator
telecommunications engineer,radio engineer|transmission engineer|broadcast engineer|communications designer|telecoms engineer|information systems engineer|telecom engineer|telecommunications technologist|communications engineer|telecommunications designer|telecommunications engineers
adult literacy teacher,teacher of adult literacy and numeracy|adult literacy lecturer|skills for life teacher|adult literacy and numeracy instructor|adult literacy instructor|teacher of adult literacy|instructor in adult literacy and numeracy|literacy tutor
footwear quality manager,footwear quality coordinator|footwear quality control manager|footwear quality executive|footwear quality assurance manager
sprinkler fitter,fire safety system fitter|fire protection system fitter|sprinkler technician|sprinkler installer|irrigation technician|fire sprinkler fitter|fire protection system installer|sprinkler system fitter|fire safety system installer
electronic and telecommunications equipment and parts distribution manager,graduate electronic and telecommunications equipment and parts distribution manager|trainee electronic and telecommunications equipment and parts distribution manager|senior electronic and telecommunications equipment and parts distribution manager|electronic and telecommunications equipment and parts distribution planner|assistant electronic and telecommunications equipment and parts distribution manager|electronic and telecommunications equipment and parts logistics manager|electronic and telecommunications equipment and parts supply chain planner|electronic and telecommunications equipment and parts logistics planner|electronic and telecommunications equipment and parts supply chain manager
